bank,arm,opponent_family,requested_seed,seat,score,our_cash,opponent_cash,margin,paired_score_delta_vs_c0,paired_margin_delta_vs_c0,action_differences_vs_c0,first_action_difference,stored_states,statuses,shop_history_sha256,replay_path
known_failure,b2,smart_farm,2026092307,0,0.0,106602.0,107375.0,-773.0,0.0,-312.0,3,264,720,DONE/DONE,44cd34d6eae3995f7fefef1765158c6e50827f952c71e4cdc060c7c07b8bb2ca,experiments\learning_round2_20260921\known_failure_bank\replays\b2\smart_farm\seed_2026092307_seat_0.json.gz
known_failure,b2,smart_farm,2026092307,1,0.0,106602.0,107375.0,-773.0,0.0,-312.0,3,264,720,DONE/DONE,44cd34d6eae3995f7fefef1765158c6e50827f952c71e4cdc060c7c07b8bb2ca,experiments\learning_round2_20260921\known_failure_bank\replays\b2\smart_farm\seed_2026092307_seat_1.json.gz
known_failure,b2_frequency,mooman_e052a,2026092307,1,0.0,97891.0,105616.0,-7725.0,0.0,-273.0,3,216,720,DONE/DONE,8f37b24d7598c448601c51720a1735102d0f50b31baabc5cf13b6e13cf5e5994,experiments\learning_round2_20260921\known_failure_bank\replays\b2_frequency\mooman_e052a\seed_2026092307_seat_1.json.gz
known_failure,b2_frequency,qeinstein_moev2,2026092307,1,0.0,81832.0,82247.0,-415.0,0.0,-245.0,5,264,720,DONE/DONE,3cfe19461023c707f3081520681161ae28506edcb87ea09ae60ff3b8bd071869,experiments\learning_round2_20260921\known_failure_bank\replays\b2_frequency\qeinstein_moev2\seed_2026092307_seat_1.json.gz
known_failure,b2_frequency,smart_farm,2026092307,0,0.0,106602.0,107375.0,-773.0,0.0,-312.0,2,264,720,DONE/DONE,44cd34d6eae3995f7fefef1765158c6e50827f952c71e4cdc060c7c07b8bb2ca,experiments\learning_round2_20260921\known_failure_bank\replays\b2_frequency\smart_farm\seed_2026092307_seat_0.json.gz
known_failure,b2_frequency,smart_farm,2026092307,1,0.0,106602.0,107375.0,-773.0,0.0,-312.0,2,264,720,DONE/DONE,44cd34d6eae3995f7fefef1765158c6e50827f952c71e4cdc060c7c07b8bb2ca,experiments\learning_round2_20260921\known_failure_bank\replays\b2_frequency\smart_farm\seed_2026092307_seat_1.json.gz
known_failure,c0,mooman_e052a,2026092307,1,0.0,98042.0,105494.0,-7452.0,0.0,0.0,0,,720,DONE/DONE,8f37b24d7598c448601c51720a1735102d0f50b31baabc5cf13b6e13cf5e5994,experiments\learning_round2_20260921\known_failure_bank\replays\c0\mooman_e052a\seed_2026092307_seat_1.json.gz
known_failure,c0,qeinstein_moev2,2026092307,1,0.0,81967.0,82137.0,-170.0,0.0,0.0,0,,720,DONE/DONE,3cfe19461023c707f3081520681161ae28506edcb87ea09ae60ff3b8bd071869,experiments\learning_round2_20260921\known_failure_bank\replays\c0\qeinstein_moev2\seed_2026092307_seat_1.json.gz
known_failure,c0,smart_farm,2026092307,0,0.0,106774.0,107235.0,-461.0,0.0,0.0,0,,720,DONE/DONE,44cd34d6eae3995f7fefef1765158c6e50827f952c71e4cdc060c7c07b8bb2ca,experiments\learning_round2_20260921\known_failure_bank\replays\c0\smart_farm\seed_2026092307_seat_0.json.gz
known_failure,c0,smart_farm,2026092307,1,0.0,106774.0,107235.0,-461.0,0.0,0.0,0,,720,DONE/DONE,44cd34d6eae3995f7fefef1765158c6e50827f952c71e4cdc060c7c07b8bb2ca,experiments\learning_round2_20260921\known_failure_bank\replays\c0\smart_farm\seed_2026092307_seat_1.json.gz
external,a2,mooman_e052a,2026092421,0,1.0,75866.0,73768.0,2098.0,0.0,-2843.0,13,279,720,DONE/DONE,2db8c68149ed114570b99e4340d9e4c8be1afbda9a383fbfc75e069d947f2752,experiments\learning_round2_20260921\external_bank\replays\a2\mooman_e052a\seed_2026092421_seat_0.json.gz
external,a2,mooman_e052a,2026092421,1,1.0,75633.0,74188.0,1445.0,0.0,-3496.0,14,281,720,DONE/DONE,2db8c68149ed114570b99e4340d9e4c8be1afbda9a383fbfc75e069d947f2752,experiments\learning_round2_20260921\external_bank\replays\a2\mooman_e052a\seed_2026092421_seat_1.json.gz
